category,opendb_id,buildcores_id,name,part_numbers,on_current_feed,in_local_checkout_before,has_any_picture
CPUCooler,e328929a-be13-46df-94bd-c5b5d873ba38,6cwva36fu,NZXT Respire T40 Air 160mm 68.8 CFM Sleeve Bearing,RC-RST40-01                                                    Respire T40,False,True,False
CPUCooler,c3fc9e29-3c82-420f-983b-bc08065f0ec7,83jq8sz52,NZXT Kraken X41 Water 140mm 106.1 CFM,RL-KRX41-01,False,True,False
CPUCooler,6a2c045f-3f03-48e3-9f5e-d3d3af350a8c,oq5k2cqhm,Kraken X53 RGB,RL-KRX53-01; RL-KRX53-RW,False,True,True
CaseFan,955719c1-1d38-4cd6-8310-865c14e6a492,jzr451cqt,NZXT F140Q (2024) 140mm Black PWM,,True,True,True
CaseFan,e21a52f5-4b38-41ac-8c59-5f5aa7c7ad49,qkhh036zq,NZXT F360 RGB CORE 360mm RGB LED Single-Frame RGB Fan Unit Black,,True,True,True
CaseFan,b494adc6-6197-4807-b2fc-38804efc3fb1,doge0wuxb,NZXT F120 RGB Core 120mm White ARGB PWM,,True,True,True
CaseFan,420fb795-94d3-4fea-ae9e-367e2a8bf22c,2qq22yiua,NZXT F360 RGB CORE 360mm White ARGB,,True,True,True
CaseFan,24bfcb44-b193-4a96-bf0b-74d88f3c9450,cvbczzuqb,NZXT F120Q 120mm Black,,True,True,True
CaseFan,1d77b1a9-bb0d-4d2a-bfd3-43196c97ccbe,1su7nub6b,NZXT F120 120mm White Duo ARGB,,True,True,True
CaseFan,a2ba7440-bf14-455f-afff-075253770fe8,ubgx1kbep,NZXT F120 RGB DUO 120mm Black ARGB,,True,True,True
CaseFan,7beaa520-44bf-45e3-aae7-d961c7047aed,mhorio6gf,NZXT F120 Core 120mm Black RGB PWM,,True,True,True
CaseFan,59ee598c-e174-4115-93df-88caa299759b,xp9qw1v8z,NZXT F120 Black Addressable RGB PWM,,False,True,True
CaseFan,3e19db7b-e8de-4eae-b982-49cba21df90e,hlroj8cev,NZXT F140Q (2024) 140mm White PWM,,True,True,True
CaseFan,4ed7e5af-82a9-4282-96fe-393f88fb9cb7,1nwow5rbs,NZXT F240 RGB Core - 240mm Single-Frame Fan Unit Black,RF-U24HF-B1,True,True,True
CaseFan,54fa3b87-ede3-4cf2-a061-2ef4e12224aa,hwocv716c,NZXT F140 RGB DUO 140mm Black RGB DUO PWM Addressable RGB 84.75 CFM 1-Pack,RF-D14SF-B1,False,True,True
CaseFan,6a8ff99f-bf95-4baa-a5d6-b4395864c9b5,2jn23ra9u,NZXT F120 RGB DUO 120mm Black Addressable RGB PWM,RF-D12SF-B1,True,True,True
CaseFan,9c832b0d-d416-481e-8164-09e651b90c06,n830wvkzr,NZXT F120Q (2024) 120mm PWM 74.26 CFM White,RF-Q12SF-W2,True,True,True
CaseFan,8b8003f2-6973-4f6f-b65c-9f0f48bba576,sas957v8o,NZXT F Core 140mm White PWM RGB,RF-C14SF-W1,True,True,True
CaseFan,6073829e-439d-4980-af2e-5d66256f2abf,s3in1uxxl,NZXT F360U 360mm Ultra RGB Fan Black,,True,False,True
CaseFan,80547aed-f893-44b8-8d92-6997bbf1f983,gsbi1534z,NZXT F280 RGB Core Black,RF-U28HF-B1,True,True,True
CaseFan,6933c88f-f49b-4a7a-b3c0-e2d9f35d1096,uwkgeafpu,NZXT F120Q (2024) 120mm Black PWM 1-Pack,RF-Q12SF-B2,True,True,True
CaseFan,549c0e31-65d1-4b00-a7e1-127799ddf5c8,2u55vgfo3,NZXT F RGB Core 140mm Black RGB PWM Core 89.48 CFM 1-Pack,RF-C14SF-B1,True,True,True
CaseFan,cbcc8e84-0abb-4835-a593-88ef9a34339f,leseobkgt,NZXT F120 RGB DUO 120mm White PWM,RF-D12SF-W1,True,True,True
CaseFan,40aeb8c6-592c-47b3-8cb4-836f3feb9743,m3oxwp0rk,NZXT F420U 420mm Ultra RGB Fan Black,,True,False,True
CaseFan,1aa2523f-6191-497a-b9c6-367a76f567b9,otvjhgkmp,NZXT F240 RGB Core - 240mm Single-Frame Fan Unit White,RF-U24HF-W1,True,True,True
CaseFan,13069b07-7e75-4a40-9e69-724f159f140d,itetve6jg,NZXT F140 140mm Black RGB DUO PWM 84.75 CFM 2-Pack,RF-D14DF-B1,True,True,True
CaseFan,cbde868a-119c-43cb-9b91-c515ed91aac9,450j9t58a,NZXT F Core 140mm Black RGB PWM 2-Pack 89.48 CFM Fans,RF-C14DF-B1,False,True,True
CaseFan,07f981e5-c35a-4afd-bd3f-e96431de3608,w00s382jb,NZXT F120 RGB 120mm Black RGB PWM Pack Of 3,RF-R12TF-B1,False,True,True
CaseFan,03cc2907-512c-44a8-8f81-bc544a08649e,aphoc5r5b,NZXT F360U 360mm Ultra RGB Fan White,RF-E36US-WA,True,False,True
CaseFan,413ee6e4-ef2e-4a06-8623-2beb25b4b76f,swvvijfvv,NZXT F140 RGB DUO 140mm White Addressable RGB PWM,RF-D14SF-W1,False,True,True
CaseFan,c7e0234b-96c0-42d5-9e59-ce5de7fa40ac,vfggdoc0p,NZXT F120 120mm White Addressable RGB PWM,RF-R12SF-W1,False,True,True
CaseFan,828bc67f-a06f-49de-a79b-75e86951c020,1u1t6i17j,NZXT F280 Core RGB White,RF-U28HF-W1,True,True,True
CaseFan,ddb929d3-5043-4ab5-8eb5-4481ab5fbf31,a80lc9ukn,NZXT F140 RGB DUO 140mm White RGB PWM 2-Pack,RF-D14DF-W1,True,True,True
CaseFan,efb7cc39-e2d8-4368-9ec5-55f288b42f79,oa992nap1,NZXT F120U 120mm Ultra RGB Fan Black,RF-E12US-BA,True,False,True
CaseFan,35cca98b-cb30-4e79-8dae-d9cea1b84ae4,lm21sxhz6,NZXT F360 RGB Black Reverse (2026),,True,False,True
CaseFan,972aaee9-9037-43ed-957f-4fd6346951ad,w08gdm8pk,NZXT F420U 420mm Ultra RGB Fan White,,True,False,True
CaseFan,3ead02b5-fd85-42be-beb2-751e547186b2,ag9whisyd,NZXT F420 RGB Black Reverse (2026),,True,False,True
CaseFan,8497e119-2561-4c3a-97af-ea8545f1e19d,v4iltx0xh,NZXT F120 RGB 120mm White RGB PWM Pack of 3,RF-R12TF-W1,False,True,True
CaseFan,54052cc2-ec1c-4ca2-9556-6ee75a0f154a,7hpk0c62z,NZXT F120P (2024) 120mm Black PWM,RF-P12SF-B2,True,True,True
CaseFan,0ccbe0b4-f6b1-4fb4-b91f-4a4fefddcf73,529dapbtg,NZXT F140 140mm Black PWM RGB 89.48 CFM,RF-R14SF-B1; RF-R14SF-W1,False,True,True
CaseFan,659ee988-fade-4593-b60f-1b57b868d995,vdzav5frl,NZXT F360 RGB White Reverse (2026),,True,False,True
CaseFan,1b830871-0f40-44ba-b403-b1435e8d3266,a68ulposp,NZXT F120P (2022) 120mm Black PWM,RF-P12SF-B1,False,True,True
CaseFan,1eaf0f1e-6a81-4b12-af59-26a62e393357,6hx1yxebu,NZXT F140 RGB Black (2026),,True,False,True
CaseFan,51062dd1-d228-4e06-be62-3dabeb6d1815,0mjjixxpp,NZXT F120U 120mm Ultra RGB Fan White,RF-E12US-WA,True,False,True
CaseFan,85d21d39-9da1-49b1-8bf1-f60a7e985524,q8s4n84j2,NZXT F140 RGB White (2026),,True,False,True
CaseFan,c7f9c76b-7bc4-4eb1-9265-318079afda63,xakwtoepa,NZXT F120 RGB Black (2026),,True,False,True
CaseFan,be9e111a-4aaf-43e2-8f12-400e41ad136f,o338zw0i7,NZXT Aer P 140mm Black PWM,RF-AP140-FP,False,True,True
CaseFan,3ab1762b-281e-42b9-b142-ef3337c7f89b,ytwxp1n3j,NZXT F420 RGB Black (2026),,True,False,True
CaseFan,5e3f5fbb-ca14-4edb-a416-14cddc80c662,o6xq8tb13,NZXT F120Q (2022) 64 CFM 120mm White PWM 1-Pack,RF-Q12SF-B1,False,True,True
CaseFan,8ebc5677-794e-4eb6-9cb4-7c0390a86af0,zirjpy65c,NZXT F140P 140mm Black PWM (2024),RF-P14SF-B2,True,True,True
CaseFan,697324f4-6ef9-4e13-822a-ae55caa071f7,5uxbyr5rr,NZXT F140U 140mm Ultra RGB Fan Black,,True,False,True
CaseFan,04efedaa-7078-408a-aee8-9adc8397e8ce,f1mmewymk,NZXT F140 140mm Black PWM RGB 2-Pack,RF-R14DF-B1,False,True,True
CaseFan,44343e0a-e607-4c44-8c77-d9552f3444c4,85z6m1lu5,NZXT F420 RGB White Reverse (2026),,True,False,True
CaseFan,a51161f3-7b3f-46be-98eb-b05ad0f335f3,ws3t8grp5,NZXT F120 RGB White (2026),,True,False,True
CaseFan,68b26ec1-6dcc-4c74-915e-84e4840988ce,1d4eai3be,NZXT F140 140mm White PWM RGB 2-Pack,RF-R14DF-W1,False,True,True
